"","A","S","E","O","R","T"
"4486","young","M","high","emp","big","other"
"4487","adult","M","high","emp","big","car"
"4488","old","F","uni","self","big","train"
"4489","adult","M","high","emp","small","car"
"4490","young","F","high","emp","small","car"
"4491","adult","M","high","emp","big","car"
"4492","adult","M","high","emp","small","train"
"4493","young","M","uni","emp","big","car"
"4494","adult","M","high","emp","big","other"
"4495","young","M","high","emp","small","train"
"4496","adult","M","high","emp","big","train"
"4497","adult","F","uni","emp","big","car"
"4498","adult","M","high","emp","small","train"
"4499","adult","F","high","emp","big","car"
"4500","adult","M","high","emp","big","car"
"4501","young","F","high","emp","big","car"
"4502","young","M","high","emp","big","other"
"4503","young","F","high","emp","big","car"
"4504","old","F","high","self","big","car"
"4505","young","M","uni","emp","big","train"
"4506","adult","F","uni","emp","big","car"
"4507","old","F","high","emp","small","train"
"4508","old","M","high","emp","big","car"
"4509","adult","M","high","emp","big","car"
"4510","adult","F","uni","emp","small","train"
"4511","adult","M","high","emp","big","train"
"4512","old","F","high","emp","big","car"
"4513","adult","F","uni","emp","big","car"
"4514","adult","F","high","emp","big","car"
"4515","adult","M","uni","emp","big","car"
"4516","young","F","high","emp","big","other"
"4517","adult","F","uni","emp","small","car"
"4518","old","F","high","emp","small","car"
"4519","adult","F","high","emp","big","car"
"4520","adult","F","uni","emp","big","train"
"4521","adult","M","high","emp","small","car"
"4522","old","F","high","emp","big","other"
"4523","adult","F","high","emp","big","other"
"4524","adult","M","high","emp","small","car"
"4525","young","F","uni","emp","big","car"
"4526","young","M","uni","emp","small","train"
"4527","adult","M","high","self","big","car"
"4528","adult","M","uni","self","small","car"
"4529","adult","F","uni","emp","small","car"
"4530","adult","M","uni","self","small","other"
"4531","adult","F","high","emp","small","car"
"4532","young","M","high","emp","big","train"
"4533","adult","F","high","emp","big","car"
"4534","young","M","high","emp","big","car"
"4535","young","M","uni","self","big","other"
"4536","adult","F","high","emp","big","car"
"4537","old","F","high","emp","small","train"
"4538","adult","F","high","emp","small","car"
"4539","adult","M","high","emp","big","car"
"4540","old","M","uni","emp","big","car"
"4541","young","M","uni","emp","big","other"
"4542","young","M","high","emp","small","train"
"4543","young","M","high","emp","big","train"
"4544","adult","F","high","emp","big","other"
"4545","old","F","high","emp","big","car"
"4546","young","F","uni","emp","big","other"
"4547","old","M","high","emp","big","car"
"4548","young","M","high","emp","big","car"
"4549","young","M","high","emp","big","car"
"4550","old","F","uni","emp","small","car"
"4551","adult","M","high","emp","big","car"
"4552","young","F","high","emp","small","car"
"4553","adult","F","uni","emp","small","train"
"4554","adult","M","high","emp","big","other"
"4555","old","M","high","emp","big","car"
"4556","adult","M","high","emp","big","other"
"4557","young","M","high","emp","big","car"
"4558","adult","M","high","emp","big","train"
"4559","young","F","uni","emp","small","train"
"4560","young","M","uni","self","big","car"
"4561","old","F","high","emp","big","car"
"4562","young","M","high","emp","big","car"
"4563","young","M","uni","emp","big","other"
"4564","adult","M","uni","emp","big","train"
"4565","adult","F","uni","emp","small","car"
"4566","young","F","high","emp","big","car"
"4567","young","F","uni","emp","big","car"
"4568","adult","M","high","emp","small","car"
"4569","adult","M","high","emp","big","car"
"4570","adult","M","uni","emp","big","train"
"4571","adult","M","high","emp","small","train"
"4572","young","M","high","emp","big","train"
"4573","young","M","high","emp","big","train"
"4574","young","F","uni","self","big","other"
"4575","adult","F","high","emp","big","car"
"4576","old","F","uni","emp","small","train"
"4577","adult","F","high","emp","big","other"
"4578","adult","M","uni","emp","small","car"
"4579","adult","M","uni","emp","small","other"
"4580","young","F","high","emp","big","car"
"4581","young","F","high","emp","big","car"
"4582","old","M","high","emp","small","car"
"4583","old","M","high","emp","big","train"
"4584","old","M","high","emp","big","car"
"4585","young","F","high","emp","small","other"
"4586","adult","F","high","emp","big","car"
"4587","young","F","high","emp","big","other"
"4588","young","M","high","emp","small","train"
"4589","adult","M","high","emp","big","car"
"4590","adult","M","high","emp","big","train"
"4591","adult","F","high","emp","big","train"
"4592","old","F","uni","emp","big","train"
"4593","adult","M","high","emp","big","other"
"4594","adult","F","uni","emp","big","train"
"4595","adult","M","high","emp","big","car"
"4596","young","F","high","emp","small","car"
"4597","adult","F","high","emp","big","car"
"4598","young","F","high","emp","big","car"
"4599","adult","M","high","emp","big","car"
"4600","adult","M","high","emp","small","train"
"4601","adult","F","high","emp","big","car"
"4602","young","M","high","emp","big","car"
"4603","adult","F","high","emp","big","car"
"4604","old","F","uni","emp","big","car"
"4605","adult","M","uni","emp","big","car"
"4606","young","M","high","emp","big","train"
"4607","young","F","high","emp","big","car"
"4608","young","F","high","emp","big","train"
"4609","young","F","high","emp","big","other"
"4610","young","M","high","emp","big","train"
"4611","adult","M","uni","self","big","other"
"4612","old","M","high","emp","big","car"
"4613","adult","M","high","emp","big","car"
"4614","young","M","uni","emp","big","other"
"4615","adult","M","high","self","big","car"
"4616","adult","M","high","emp","big","car"
"4617","adult","F","high","emp","big","train"
"4618","young","F","uni","emp","big","car"
"4619","adult","F","high","emp","small","train"
"4620","young","M","uni","emp","big","other"
"4621","adult","M","high","emp","big","car"
"4622","adult","F","high","emp","big","car"
"4623","young","M","high","emp","big","car"
"4624","young","F","high","emp","big","other"
"4625","adult","F","high","emp","small","train"
"4626","young","F","high","emp","big","train"
"4627","young","F","uni","emp","big","train"
"4628","adult","M","high","emp","big","other"
"4629","old","M","high","emp","big","car"
"4630","adult","M","high","emp","big","car"
"4631","young","M","uni","emp","big","car"
"4632","adult","M","high","emp","big","car"
"4633","adult","F","uni","emp","small","car"
"4634","adult","M","high","emp","big","car"
"4635","adult","M","high","emp","big","train"
"4636","adult","F","uni","emp","big","car"
"4637","old","M","high","emp","small","car"
"4638","adult","F","uni","emp","big","train"
"4639","adult","M","high","emp","big","train"
"4640","adult","M","uni","emp","big","car"
"4641","young","M","uni","emp","small","train"
"4642","adult","F","high","emp","small","train"
"4643","young","F","high","emp","big","train"
"4644","old","M","high","self","big","car"
"4645","old","M","high","emp","small","car"
"4646","adult","F","high","emp","big","car"
"4647","adult","F","high","emp","big","train"
"4648","adult","F","high","emp","big","car"
"4649","young","F","high","emp","big","car"
"4650","adult","M","high","emp","big","car"
"4651","adult","M","uni","emp","big","train"
"4652","young","F","high","emp","big","car"
"4653","adult","F","high","emp","big","car"
"4654","young","F","high","emp","big","car"
"4655","young","F","uni","self","small","car"
"4656","adult","F","high","self","big","car"
"4657","young","M","high","emp","big","train"
"4658","adult","F","high","emp","big","car"
"4659","adult","M","high","emp","big","train"
"4660","old","M","high","emp","big","train"
"4661","old","F","high","emp","big","train"
"4662","young","M","high","self","small","car"
"4663","old","M","high","emp","big","car"
"4664","adult","M","high","emp","big","other"
"4665","old","F","high","emp","small","train"
"4666","adult","F","high","emp","big","train"
"4667","adult","M","uni","emp","big","car"
"4668","adult","M","uni","emp","big","other"
"4669","young","F","uni","emp","big","car"
"4670","adult","F","high","emp","big","car"
"4671","adult","M","high","emp","small","train"
"4672","adult","M","uni","emp","big","car"
"4673","old","M","high","emp","big","car"
"4674","young","F","uni","emp","big","car"
"4675","young","M","high","emp","small","train"
"4676","adult","F","high","emp","small","train"
"4677","old","F","high","emp","big","train"
"4678","adult","F","uni","emp","big","other"
"4679","adult","F","uni","emp","big","train"
"4680","old","F","high","emp","big","car"
"4681","adult","M","high","emp","big","car"
"4682","adult","F","high","emp","big","train"
"4683","young","M","high","emp","big","train"
"4684","young","F","high","emp","big","car"
"4685","adult","M","high","emp","big","car"
"4686","adult","M","uni","emp","big","train"
"4687","adult","F","high","emp","small","car"
"4688","adult","M","high","emp","big","other"
"4689","adult","M","high","emp","small","car"
"4690","adult","F","high","self","big","train"
"4691","young","F","high","emp","big","other"
"4692","young","M","high","emp","small","train"
"4693","young","M","high","emp","big","car"
"4694","adult","F","uni","emp","big","car"
"4695","adult","M","high","emp","small","car"
"4696","adult","M","uni","emp","big","train"
"4697","adult","F","uni","emp","small","train"
"4698","young","F","high","emp","small","train"
"4699","adult","M","high","emp","big","train"
"4700","adult","F","high","emp","big","car"
"4701","young","F","high","emp","small","train"
"4702","young","F","high","emp","big","train"
"4703","old","F","high","emp","small","car"
"4704","adult","F","high","emp","small","car"
"4705","adult","M","high","emp","big","other"
"4706","young","F","uni","emp","big","car"
"4707","young","M","high","emp","big","other"
"4708","adult","M","uni","emp","big","car"
"4709","adult","M","high","emp","big","car"
"4710","adult","M","high","emp","big","car"
"4711","adult","M","high","emp","big","train"
"4712","adult","F","high","emp","big","car"
"4713","adult","F","high","emp","big","car"
"4714","young","F","uni","emp","big","train"
"4715","adult","M","high","emp","big","car"
"4716","young","M","high","self","big","train"
"4717","adult","M","high","emp","big","train"
"4718","adult","M","high","emp","big","train"
"4719","adult","F","high","emp","big","car"
"4720","adult","F","high","emp","small","car"
"4721","young","F","high","emp","big","car"
"4722","young","F","uni","emp","big","car"
"4723","old","M","uni","emp","small","car"
"4724","young","F","high","emp","big","train"
"4725","adult","M","uni","self","big","car"
"4726","old","M","high","emp","big","car"
"4727","young","M","high","self","big","car"
"4728","young","M","high","emp","big","car"
"4729","old","M","high","emp","big","other"
"4730","young","F","high","emp","big","train"
"4731","young","F","high","emp","big","car"
"4732","old","M","high","emp","small","car"
"4733","young","M","high","emp","big","car"
"4734","adult","F","high","emp","small","train"
"4735","young","F","high","emp","small","car"
"4736","adult","M","high","emp","big","other"
"4737","old","F","high","self","small","train"
"4738","adult","M","high","emp","small","train"
"4739","young","F","high","emp","big","car"
"4740","young","M","high","emp","big","other"
"4741","adult","M","high","emp","small","train"
